match,date,venue,competition,season,competition_type,rugby_pass_url
la_rochelle_vs_bath,2020-12-19,stade_marcel_deflandre,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/la-rochelle-vs-bath-at-stade-marcel-deflandre-on-19122020/2020-2021/stats/
gloucester_vs_ulster,2020-12-19,kingsholm_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/gloucester-vs-ulster-at-kingsholm-stadium-on-19122020/2020-2021/stats/
clermont_vs_munster,2020-12-19,stadium_marcel_michelin,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/clermont-vs-munster-at-stadium-marcel-michelin-on-19122020/2020-2021/stats/
sale_sharks_vs_edinburgh,2020-12-19,aj_bell_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/sale-sharks-vs-edinburgh-at-aj-bell-stadium-on-19122020/2020-2021/stats/
bordeaux_vs_gwent_dragons,2020-12-19,stade_chaban_delmas,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/bordeaux-vs-gwent-dragons-at-stade-chaban-delmas-on-19122020/2020-2021/stats/
harlequins_vs_racing_92,2020-12-20,twickenham_stoop,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/harlequins-vs-racing-92-at-twickenham-stoop-on-20122020/2020-2021/stats/
toulouse_vs_exeter_chiefs,2020-12-20,stade_ernest_wallon,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/toulouse-vs-exeter-chiefs-at-stade-ernest-wallon-on-20122020/2020-2021/stats/
connacht_vs_bristol,2020-12-20,the_sportsground,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/connacht-vs-bristol-at-the-sportsground-on-20122020/2020-2021/stats/
leinster_vs_montpellier,2021-01-22,rds_arena,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/leinster-vs-montpellier-at-rds-arena-on-22012021/2020-2021/stats/
sale_sharks_vs_toulon,2021-01-22,aj_bell_stadium,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/sale-sharks-vs-toulon-at-aj-bell-stadium-on-22012021/2020-2021/stats/
bordeaux_vs_northampton_saints,2021-01-23,stade_chaban_delmas,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/bordeaux-vs-northampton-saints-at-stade-chaban-delmas-on-23012021/2020-2021/stats/
scarlets_vs_bath,2021-01-23,parc_y_scarlets,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/scarlets-vs-bath-at-parc-y-scarlets-on-23012021/2020-2021/stats/
clermont_vs_bristol,2021-01-23,stadium_marcel_michelin,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/clermont-vs-bristol-at-stadium-marcel-michelin-on-23012021/2020-2021/stats/
harlequins_vs_munster,2021-01-23,twickenham_stoop,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/harlequins-vs-munster-at-twickenham-stoop-on-23012021/2020-2021/stats/
la_rochelle_vs_edinburgh,2021-01-23,stade_marcel_deflandre,european_champions_cup,2020-2021,unknown,https://www.rugbypass.com/live/european-champions-cup/la-rochelle-vs-edinburgh-at-stade-marcel-deflandre-on-23012021/2020-2021/stats/
