match,date,venue,competition,season,competition_type,rugby_pass_url
harlequins_vs_london_irish,2021-01-10,twickenham_stoop,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/harlequins-vs-london-irish-at-twickenham-stoop-on-10012021/2020-2021/stats/
leicester_tigers_vs_sale_sharks,2021-01-29,welford_road,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/leicester-tigers-vs-sale-sharks-at-welford-road-on-29012021/2020-2021/stats/
bristol_vs_bath,2021-01-29,ashton_gate,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/bristol-vs-bath-at-ashton-gate-on-29012021/2020-2021/stats/
worcester_warriors_vs_exeter_chiefs,2021-01-30,sixways,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/worcester-warriors-vs-exeter-chiefs-at-sixways-on-30012021/2020-2021/stats/
gloucester_vs_northampton_saints,2021-01-30,kingsholm_stadium,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/gloucester-vs-northampton-saints-at-kingsholm-stadium-on-30012021/2020-2021/stats/
london_irish_vs_newcastle_falcons,2021-01-31,community_stadium,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/london-irish-vs-newcastle-falcons-at-community-stadium-on-31012021/2020-2021/stats/
wasps_vs_harlequins,2021-01-31,ricoh_arena,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/wasps-vs-harlequins-at-ricoh-arena-on-31012021/2020-2021/stats/
bristol_vs_sale_sharks,2021-02-05,ashton_gate,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/bristol-vs-sale-sharks-at-ashton-gate-on-05022021/2020-2021/stats/
wasps_vs_northampton_saints,2021-02-06,ricoh_arena,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/wasps-vs-northampton-saints-at-ricoh-arena-on-06022021/2020-2021/stats/
bath_vs_harlequins,2021-02-06,recreation_ground,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/bath-vs-harlequins-at-recreation-ground-on-06022021/2020-2021/stats/
leicester_tigers_vs_worcester_warriors,2021-02-06,welford_road,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/leicester-tigers-vs-worcester-warriors-at-welford-road-on-06022021/2020-2021/stats/
london_irish_vs_gloucester,2021-02-06,community_stadium,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/london-irish-vs-gloucester-at-community-stadium-on-06022021/2020-2021/stats/
newcastle_falcons_vs_exeter_chiefs,2021-02-06,kingston_park,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/newcastle-falcons-vs-exeter-chiefs-at-kingston-park-on-06022021/2020-2021/stats/
gloucester_vs_bristol,2021-02-12,kingsholm_stadium,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/gloucester-vs-bristol-at-kingsholm-stadium-on-12022021/2020-2021/stats/
sale_sharks_vs_bath,2021-02-12,aj_bell_stadium,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/sale-sharks-vs-bath-at-aj-bell-stadium-on-12022021/2020-2021/stats/
harlequins_vs_leicester_tigers,2021-02-13,twickenham_stoop,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/harlequins-vs-leicester-tigers-at-twickenham-stoop-on-13022021/2020-2021/stats/
exeter_chiefs_vs_london_irish,2021-02-13,sandy_park_stadium,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/exeter-chiefs-vs-london-irish-at-sandy-park-stadium-on-13022021/2020-2021/stats/
worcester_warriors_vs_wasps,2021-02-14,sixways,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/worcester-warriors-vs-wasps-at-sixways-on-14022021/2020-2021/stats/
bath_vs_gloucester,2021-02-19,recreation_ground,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/bath-vs-gloucester-at-recreation-ground-on-19022021/2020-2021/stats/
harlequins_vs_sale_sharks,2021-02-20,twickenham_stoop,premiership,2020-2021,club,https://www.rugbypass.com/live/premiership/harlequins-vs-sale-sharks-at-twickenham-stoop-on-20022021/2020-2021/stats/
